dataset_subset,weighting,accuracy,mcc,macro_f1,majority_accuracy,ct_recall,n_instances,n_unique_positions
hotspot-CpG,weighted (notebook 04),0.0800503109496191,0.0893310304022184,0.0567348911582751,0.8577877157431346,0.0,71555,178
hotspot-CpG,unweighted (this notebook),0.10629585633428831,0.06099568353467249,0.07105761912279987,0.8577877157431346,0.0371136707994591,71555,178
hotspot-nonCpG,weighted (notebook 04),0.2233128235179216,0.0860170073229431,0.188010988713799,0.2852817657974411,0.1032180760013694,40956,958
hotspot-nonCpG,unweighted (this notebook),0.25424846176384414,0.01878299486587189,0.17149593439114616,0.28528176579744113,0.3454296473810339,40956,958
