dataset_subset,weighting,accuracy,mcc,macro_f1,majority_accuracy,ct_recall,n_instances,n_unique_positions
rare-CpG,weighted (notebook 04),0.3846153846153846,0.0,0.1851851851851852,0.4615384615384615,1.0,104,16
rare-CpG,unweighted (this notebook),0.38461538461538464,0.0,0.1851851851851852,0.46153846153846156,1.0,104,16
rare-nonCpG,weighted (notebook 04),0.2103631532329495,0.0250442438842981,0.192504495205683,0.3569530558015943,0.24069478908188585,2258,868
rare-nonCpG,unweighted (this notebook),0.39105403011514617,0.14050206932891976,0.1467064934188892,0.3569530558015943,0.9255583126550868,2258,868
