dataset,is_cpg,accuracy,mcc,macro_f1,majority_accuracy,n_instances,n_unique_positions
hotspot,True,0.08005031094961917,0.0893310304022184,0.05673489115827519,0.8577877157431346,71555,178
hotspot,False,0.22331282351792167,0.08601700732294312,0.18801098871379907,0.28528176579744113,40956,958
rare,True,0.38461538461538464,0.0,0.1851851851851852,0.46153846153846156,104,16
rare,False,0.21036315323294952,0.025044243884298163,0.19250449520568302,0.3569530558015943,2258,868
