Dataset,"Accuracy (95% CI, locus-resampled)","Accuracy (95% CI, instance-resampled)",Balanced accuracy,Macro F1,Weighted F1,MCC,Majority baseline,Random baseline,CpG-rule baseline,Logistic-regression baseline,Position-majority ceiling
hotspot,0.132 (0.054-0.238),0.132 (0.130-0.134),0.26,0.155,0.094,0.067,0.649,0.166,0.649,0.193,0.803
rare,0.218 (0.152-0.292),0.218 (0.202-0.236),0.199,0.194,0.222,0.026,0.358,0.162,0.358,0.354,0.727
