Dataset,n splits,"Accuracy (mean +/- SD, range)","MCC (mean +/- SD, range)","Majority baseline (mean +/- SD, range)",Splits CNN beat majority,Splits significant (cluster-bootstrap p<0.05)
hotspot,6,0.192 +/- 0.107 (range 0.090-0.361),0.037 +/- 0.095 (range -0.049-0.190),0.571 +/- 0.093 (range 0.454-0.685),0/6,4/6
rare,6,0.218 +/- 0.053 (range 0.148-0.289),0.021 +/- 0.058 (range -0.044-0.111),0.370 +/- 0.029 (range 0.351-0.428),0/6,4/6
