dataset,accuracy,accuracy_ci_low,accuracy_ci_high,accuracy_ci_low_clustered,accuracy_ci_high_clustered,balanced_accuracy,macro_f1,weighted_f1,mcc,majority_accuracy,random_accuracy,cpg_accuracy,logistic_accuracy,position_majority_ceiling,mcnemar_cnn_vs_majority_pvalue,cluster_bootstrap_cnn_vs_majority_pvalue,cluster_wilcoxon_cnn_vs_majority_pvalue
hotspot,0.1322004070713086,0.1302717067664495,0.1341297739776555,0.05370187848589514,0.2381181306719921,0.2597822087674434,0.15501253746885346,0.09398626134237517,0.06658245818294402,0.6493853934281981,0.16574379394014807,0.6493853934281981,0.19340331167619165,0.8032281288051835,0.0,0.014,0.00737900588181369
rare,0.2180355630821338,0.20193691786621507,0.23581710414902624,0.15168758018034278,0.2923237885462555,0.1987185731049154,0.19417563822890016,0.22152191135837007,0.02610076235594064,0.35817104149026247,0.16172734970364097,0.35817104149026247,0.3543607112616427,0.72692633361558,2.369097925962137e-28,0.028,0.08750575831381788
