window_size,dataset,accuracy,accuracy_ci_low,accuracy_ci_high,accuracy_ci_low_clustered,accuracy_ci_high_clustered,balanced_accuracy,macro_f1,weighted_f1,mcc,majority_accuracy,random_accuracy,position_majority_ceiling
11,hotspot,0.28781185839606793,0.2851621174818462,0.2902665072748442,0.1491585039479769,0.5811457510044564,0.4141953413482513,0.3044066684606033,0.3151559745689092,0.20886964641423045,0.6493853934281981,0.16574379394014807,0.8032281288051835
21,hotspot,0.1322004070713086,0.1302717067664495,0.1341297739776555,0.0537018784858951,0.2381181306719921,0.2597822087674434,0.1550125374688534,0.0939862613423751,0.066582458182944,0.6493853934281981,0.165743793940148,0.8032281288051835
51,hotspot,0.18208886242234093,0.17983886020033596,0.18436441770138032,0.0944032654934306,0.31761582431997737,0.3300186857068761,0.21855894969149126,0.1546916279287216,0.11707004149514384,0.6493853934281981,0.16574379394014807,0.8032281288051835
101,hotspot,0.14344375216645483,0.14143394868057343,0.1454806641128423,0.06457829006370386,0.2604160370054582,0.2582053667546674,0.1836521333853093,0.13051672360957747,0.07099024055139269,0.6493853934281981,0.16574379394014807,0.8032281288051835
11,rare,0.392887383573243,0.37256562235393736,0.4119390347163421,0.3007046414467164,0.49373286370270647,0.3414597654971234,0.3377000291173123,0.4016080459535092,0.24146884928064186,0.35817104149026247,0.16172734970364097,0.72692633361558
21,rare,0.2180355630821338,0.201936917866215,0.2358171041490262,0.1516875801803427,0.2923237885462555,0.1987185731049154,0.1941756382289001,0.22152191135837,0.0261007623559406,0.3581710414902624,0.1617273497036409,0.72692633361558
51,rare,0.14479254868755292,0.13039796782387808,0.15876375952582558,0.08068775673430088,0.2146097681193538,0.16725805587477816,0.1421666267321499,0.14090285605854788,-0.007120502035172854,0.35817104149026247,0.16172734970364097,0.72692633361558
101,rare,0.22734970364098223,0.20999153259949196,0.2438611346316681,0.14085817289778177,0.32284437414718176,0.21742191738672023,0.1929140376887315,0.21917942645308194,0.06114147076787179,0.35817104149026247,0.16172734970364097,0.72692633361558
