window_size,dataset,train_unique_seqs,test_unique_seqs,exact_overlap,mean_min_hamming,median_min_hamming,mean_hamming_pct_of_length,frac_dist_le_1,frac_dist_le_2
11,hotspot,322,70,0,3.2142857142857144,3.0,29.22077922077922,0.014285714285714285,0.11428571428571428
21,hotspot,331,72,0,9.01388888888889,9.0,42.923280423280424,0.0,0.0
51,hotspot,359,74,0,27.135135135135137,27.5,53.20614732379438,0.0,0.0
101,hotspot,402,90,0,59.43333333333333,60.0,58.84488448844885,0.0,0.0
11,rare,311,67,0,3.2686567164179103,3.0,29.715061058344638,0.014925373134328358,0.16417910447761194
21,rare,320,70,0,8.4,9.0,40.0,0.0,0.0
51,rare,343,77,0,26.92207792207792,27.0,52.78838808250573,0.0,0.0
101,rare,370,85,0,59.51764705882353,60.0,58.928363424577746,0.0,0.0
