dataset,weighting,accuracy,balanced_accuracy,macro_f1,weighted_f1,mcc,ct_recall,ct_precision,majority_accuracy
hotspot,unweighted,0.16015322946200816,0.20649052870492016,0.14598899704921295,0.14762682943260888,-0.05532911507907375,0.08641857027496817,0.32252132604587014,0.6493853934281981
hotspot,weighted (notebook 01),0.1322004070713086,0.2597822087674434,0.1550125374688534,0.0939862613423751,0.066582458182944,0.016506302779792783,0.4995857497928749,0.6493853934281981
rare,unweighted,0.390770533446232,0.21013285708561583,0.14643255971581357,0.26079313711078195,0.1403876279256006,0.9290780141843972,0.42647856755290287,0.3581710414902624
rare,weighted (notebook 01),0.2180355630821338,0.1987185731049154,0.1941756382289001,0.22152191135837,0.0261007623559406,0.2765957446808511,0.35454545454545455,0.3581710414902624
