split_seed,dataset,accuracy,mcc,balanced_accuracy,majority_accuracy,n_test_clusters,n_test_instances,ct_pct_train,ct_pct_test,cnn_beats_majority,cluster_bootstrap_pvalue
42,hotspot,0.1322004070713086,0.06658245818294402,0.2597822087674434,0.6493853934281981,70,112511,0.4799360761267438,0.6493853934281981,False,0.014
43,hotspot,0.09000767070844974,-0.028395291035190028,0.204631133351964,0.6848042561875876,70,142099,0.4837890599524346,0.6848042561875876,False,0.0
44,hotspot,0.1427397871166868,-0.04901558236690362,0.2074455970326803,0.45394373965802537,70,85211,0.5348781363803414,0.45394373965802537,False,0.004
45,hotspot,0.1357972338204593,-0.044751655792630435,0.19586962189476273,0.5202461725817675,70,91968,0.5610827328910635,0.5202461725817675,False,0.05
46,hotspot,0.28969910158292533,0.08891093638296255,0.31507452805410024,0.49623995816894045,70,105185,0.5090309732924777,0.49623995816894045,False,0.258
47,hotspot,0.3612763102534654,0.18994734823053805,0.30388075912757684,0.621462116646388,70,87941,0.49542839500442937,0.621462116646388,False,0.006
42,rare,0.2180355630821338,0.02610076235594064,0.1987185731049154,0.35817104149026247,67,2362,0.3601206315416001,0.35817104149026247,False,0.028
43,rare,0.16904761904761906,-0.02219135992379783,0.15881622220508432,0.3611111111111111,67,2520,0.36870567375886526,0.3611111111111111,False,0.002
44,rare,0.22330097087378642,-0.011313995131341105,0.16609414909270787,0.42806707855251547,67,2266,0.3560612541705877,0.42806707855251547,False,0.004
45,rare,0.2886334610472541,0.11052439372463052,0.2692364001283111,0.35206470838654746,67,2349,0.3742966866124855,0.35206470838654746,False,0.378
46,rare,0.25916343251401464,0.06427861036530216,0.19096576650019628,0.36998706338939197,67,2319,0.35777777777777775,0.36998706338939197,False,0.112
47,rare,0.14840379637618636,-0.043619637491502904,0.10805311258496124,0.35073339085418465,67,2318,0.36673417275689,0.35073339085418465,False,0.002
