dataset,n_splits,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,mcc_mean,mcc_std,majority_accuracy_mean,majority_accuracy_std,ct_pct_test_mean,ct_pct_test_std,ct_pct_test_min,ct_pct_test_max,n_splits_cnn_beats_majority,n_splits_cluster_bootstrap_significant_at_05
hotspot,6,0.19195341842554922,0.1074833165587799,0.09000767070844974,0.3612763102534654,0.037213035600286756,0.09520613835082763,0.5710136061118177,0.09328374528545592,0.5710136061118177,0.09328374528545592,0.45394373965802537,0.6848042561875876,0,4
rare,6,0.2177641404901657,0.0528228150220933,0.14840379637618636,0.2886334610472541,0.020629795649871913,0.058306493735963236,0.3700223989640022,0.02926976695171886,0.3700223989640022,0.02926976695171886,0.35073339085418465,0.42806707855251547,0,4
