dataset,window,ref_base_match,chance,cnn_accuracy
hotspot,11,0.7801814933650932,0.5660233652687118,0.28781185839606793
hotspot,21,0.5186603976500076,0.4497127142413443,0.1322004070713086
hotspot,51,0.5724329176702723,0.49555185084107806,0.18208886242234093
hotspot,101,0.4633769142572726,0.47527310258276045,0.14344375216645483
rare,11,0.9508890770533446,0.5218005091911804,0.392887383573243
rare,21,0.7455546147332769,0.5271336809675635,0.2180355630821338
rare,51,0.5228619813717189,0.475111865043545,0.14479254868755292
rare,101,0.5414902624894158,0.4782930552259491,0.22734970364098223
