dataset,level,n,rho,p
hotspot,position_id,1136,0.03183630515910222,0.2836659771874094
hotspot,locus,70,0.07160383156618993,0.5558272821641237
rare,position_id,884,0.27521970008854596,7.89962775731872e-17
rare,locus,67,0.25480076601274215,0.03744623963955624
